taxonKey,acceptedTaxonKey,scientificName,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,introduction pathway 1,introduction pathway 2,introduction pathway 3,introduction pathway 4,introduction pathway 5,introduction pathway 6,introduction pathway 7,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,date added,added by,verified by
2678712,2678712,Thamnobryum alopecurum (Hedw.) Gangulee,Plantae,Bryophyta,Bryopsida,Hypnales,Neckeraceae,Thamnobryum,species,,Belgium,BE,,native,native,,,,,,,,1871-04-30,2024-12-09 12:05:19,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2678712,2678712,Thamnobryum alopecurum (Hedw.) Gangulee,Plantae,Bryophyta,Bryopsida,Hypnales,Neckeraceae,Thamnobryum,species,,Flanders,BE,,native,native,,,,,,,,1871-04-30,2024-12-09 12:05:19,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2678712,2678712,Thamnobryum alopecurum (Hedw.) Gangulee,Plantae,Bryophyta,Bryopsida,Hypnales,Neckeraceae,Thamnobryum,species,,Wallonia,BE,,native,native,,,,,,,,1871-04-30,2024-12-09 12:05:19,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2678712,2678712,Thamnobryum alopecurum (Hedw.) Gangulee,Plantae,Bryophyta,Bryopsida,Hypnales,Neckeraceae,Thamnobryum,species,,Brussels,BE,,native,native,,,,,,,,1871-04-30,2024-12-09 12:05:19,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2678774,2678774,Fontinalis squamosa Hedw.,Plantae,Bryophyta,Bryopsida,Hypnales,Fontinalaceae,Fontinalis,species,,Belgium,BE,,native,native,,,,,,,,1868-09-01,2024-04-07 10:31,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2678774,2678774,Fontinalis squamosa Hedw.,Plantae,Bryophyta,Bryopsida,Hypnales,Fontinalaceae,Fontinalis,species,,Wallonia,BE,,native,native,,,,,,,,1868-09-01,2024-04-07 10:31,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679337,2679337,Tetrodontium brownianum (Dicks.) Schwägr.,Plantae,Bryophyta,Polytrichopsida,Tetraphidales,Tetraphidaceae,Tetrodontium,species,,Belgium,BE,,native,native,,,,,,,,2004-07-27,2025-05-30,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679337,2679337,Tetrodontium brownianum (Dicks.) Schwägr.,Plantae,Bryophyta,Polytrichopsida,Tetraphidales,Tetraphidaceae,Tetrodontium,species,,Wallonia,BE,,native,native,,,,,,,,2004-07-27,2025-05-30,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679339,2679339,Schistostega pennata (Hedw.) F.Weber & D.Mohr.,Plantae,Bryophyta,Bryopsida,Dicranales,Schistostegaceae,Schistostega,species,,Belgium,BE,,native,native,,,,,,,,1871-11-01,2024-12-01 14:32,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679339,2679339,Schistostega pennata (Hedw.) F.Weber & D.Mohr.,Plantae,Bryophyta,Bryopsida,Dicranales,Schistostegaceae,Schistostega,species,,Wallonia,BE,,native,native,,,,,,,,1871-11-01,2024-12-01 14:32,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679436,2679436,Thuidium tamariscinum (Hedw.) Schimp.,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,species,,Belgium,BE,,native,native,,,,,,,,1866-12-31,2025-10-27 9:11:15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
2679436,2679436,Thuidium tamariscinum (Hedw.) Schimp.,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,species,,Flanders,BE,,native,native,,,,,,,,1866-12-31,2025-10-27 9:11:15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",,,,FALSE,,,,
